Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned
The Georgian Hotel,5/12/2025,87,5809.62,62,0,0
The Hermosillo,4/29/2025,74,3630.51,75,0,0
The Rooster,1/6/2023,15,974.06,919,1,1
The Social Club,11/15/2024,1,55.0,240,1,1
The Stackz Co,6/26/2025,23,1122.14,17,0,0
Tiago Coffee Bar + Kitchen,7/7/2025,372,26210.32,6,0,0
Tomat,6/30/2025,7,500.65,13,0,0
Tortoni Caffe,5/27/2025,2,48.87,47,0,0
Townhouse,7/10/2025,42,2422.76,3,0,0
Townie Bagels,7/11/2025,227,17710.9,2,0,0
Triple Beam Pizza Commissary,6/3/2025,9,538.92,40,0,0
Triple Beam Pizza Echo Park,7/7/2025,105,5643.46,6,0,0
Triple Beam Pizza Glendora,7/22/2024,8,457.44,356,1,1
Triple Beam Pizza Highland Park,7/7/2025,121,6773.38,6,0,0
Triple Beam Pizza Santa Monica,6/27/2025,37,1915.34,16,0,0
Triple One Market Supply,1/19/2023,24,17155.81,906,1,1
Trophies Burger Club,11/29/2022,12,772.36,957,1,1
Unincorporated Coffee - Altadena,7/7/2025,111,7876.15,6,0,0
Unincorporated Coffee - Altadena:Unincorporated Coffee - Altadena #2,12/9/2024,150,10145.65,216,1,1
Unincorporated Coffee - Altadena:Unincorporated Coffee - Burbank,4/15/2024,72,3865.36,454,1,1
Unincorporated Coffee - Altadena:Unincorporated Coffee - Eagle Rock,7/7/2025,320,19068.3,6,0,0
Upper East Slice,6/3/2025,4,229.0,40,0,0
Vamos. Vamos.,11/20/2024,16,1476.2,235,1,1
Varsity Bakers,2/12/2025,11,607.74,151,1,1
Vidal Produce #2,6/10/2025,159,43684.79,33,0,0
Viele & Sons,9/30/2022,1,5312.5,1017,1,1
Villas Tacos,5/20/2025,35,2485.89,54,0,0
Vitorrja,8/29/2023,1,63.0,684,1,1
Wake and Late 6th,7/7/2025,97,4991.51,6,0,0
Wake and Late Pasadena,7/11/2025,153,9041.54,2,0,0
Wake and Late Selma,7/9/2025,114,5096.69,4,0,0
Wallflour Pizza,4/22/2025,1,61.75,82,0,0
Wax Paper Chinatown,5/22/2025,11,424.9,52,0,0
Wax Paper Frogtown,6/12/2025,57,2544.99,31,0,0
Webgility Shop KEVIDKO,7/9/2025,6533,1112089.34,4,0,0
West Altadena Wine + Spirits,9/24/2024,1,127.2,292,1,1
Wexler's Deli- DTLA,3/11/2025,2,112.82,124,1,1
Wexler's Deli- Santa Monica,6/18/2025,13,625.88,25,0,0
Wild Crust,5/14/2025,3,189.46,60,0,0
Woon Number Two,5/8/2025,4,371.62,66,0,0
YALA COFFEE COMPANY,7/10/2025,171,13665.3,3,0,0
YC Meat Market,3/5/2025,2,97.74,130,1,1
Yang's Kitchen,1/9/2025,4,490.39,185,1,1
Yellow Paper Burger,6/10/2025,6,232.11,33,0,0
Young Israel Congregation,4/28/2025,23,5499.87,76,0,0
